Date,Climate,Covid,Both,US_daily_covid_death
2021/12/1,1843,36826,8.08%,1663
2021/12/2,1744,37368,9.02%,1622
2021/12/3,1935,36086,7.06%,1727
2021/12/4,1537,29197,8.51%,1244
2021/12/5,1453,29249,6.62%,1641
2021/12/6,1856,34071,7.85%,572
2021/12/7,1818,33595,6.91%,281
2021/12/8,1929,34593,7.61%,1288
2021/12/9,1786,35407,8.78%,1832
2021/12/10,1882,33604,7.29%,1480
2021/12/11,2151,28374,6.52%,1162
2021/12/12,2437,28704,5.83%,1971
2021/12/13,2302,36962,7.77%,490
2021/12/14,2657,41160,6.77%,306
2021/12/15,2432,43552,8.19%,1312
2021/12/16,2336,45015,7.89%,1908
2021/12/17,2348,48718,8.07%,1900
2021/12/18,1883,43461,9.86%,1115
2021/12/19,2628,44074,8.81%,2034
2021/12/20,2357,49113,8.57%,590
2021/12/21,1956,55717,8.73%,286
2021/12/22,1846,54291,9.60%,1467
2021/12/23,1697,47249,9.15%,2259
2021/12/24,1536,44557,8.90%,1854
2021/12/25,1582,34880,11.22%,3177
2021/12/26,1899,40285,13.52%,1368
2021/12/27,2414,45790,13.01%,262
2021/12/28,2558,48302,11.00%,266
2021/12/29,2991,52454,11.72%,1786
2021/12/30,2815,57965,11.95%,2331
2021/12/31,2802,54548,10.42%,1823
