independent_variable,coefficient,pval,CI95_low,CI95_high
US_daily_covid_confirm,-0.005703382,0.460997125,-0.020884657,0.009477893
US_daily_covid_death,-0.040287067,0.000158186,-0.061109543,-0.019464591
